,document,term,tfidf
47917029,1005,porch,0.37143734416732566
47906229,1005,afternoon,0.3543697900404632
47911523,1005,friday,0.34226016767170214
47919289,1005,smoke,0.30812505941797735
47910257,1005,drink,0.27894788292235395
47912324,1005,hang,0.26862975508218606
47912223,1005,guy,0.22331019945643973
47914377,1005,lo,0.21944020387265029
47906486,1005,angel,0.21311425970740178
136890527,1006,terrestri,0.3246807298993699
136882736,1006,home,0.2963618488923515
136880939,1006,extra,0.28685293428235026
136875695,1006,10,0.23652477228851135
136880605,1006,emot,0.23461195928167183
136890395,1006,task,0.22066985554659374
136882621,1006,hidden,0.21856183597857587
136877625,1006,bond,0.20946659310429772
136881456,1006,form,0.19709645004151852
136876376,1006,alien,0.19329254809108537
150903767,1007,medium,0.3396703516517941
150911187,1007,zoom,0.3396703516517941
150909003,1007,séanc,0.3206276061186827
150903133,1007,lockdown,0.3031066379155185
150895803,1007,bargain,0.2606303875142678
150902084,1007,invad,0.22224785608841044
150901420,1007,hold,0.2037414992035877
150899748,1007,far,0.20093259516138207
150911008,1007,wrong,0.19667569007392163
150906220,1007,quickli,0.1948441036334374
150156137,1008,ballet,0.5770218766725845
150169531,1008,tchaikovski,0.37220646026444687
150157686,1008,choreographi,0.34509827265812737
150168606,1008,soundtrack,0.3363713854661757
150167156,1008,retel,0.28627553862738586
150157782,1008,classic,0.22163162359719832
150158017,1008,complet,0.21843728991144212
150157694,1008,christma,0.2063330577130437
150155646,1008,anim,0.1998647478063268
150168848,1008,star,0.18697919586712147
107982526,1009,beak,0.5037995264413576
107982877,1009,blu,0.5037995264413576
107988832,1009,janeiro,0.2518997632206788
107988261,1009,hurtl,0.2159802238021753
107993490,1009,rio,0.2159802238021753
107981556,1009,adversari,0.20740578520094138
107986435,1009,fearsom,0.20394556714067819
107981768,1009,amazon,0.20236538489854908
107996968,1009,veng,0.18645906169160628
107986609,1009,fit,0.18244540878522433
33123392,101,mission,0.32063021916421536
33129940,101,war,0.2880517253444116
33125947,101,remain,0.2634089624007407
33117864,101,desper,0.23195727503200045
33126777,101,seawolf,0.22402283095432474
33121859,101,kessler,0.20770701277832113
33120190,101,grizzl,0.20245449251639164
33128722,101,tide,0.19453435666652757
33120113,101,grasp,0.18861872917522746
33128069,101,submarin,0.16982285616438428
155549817,1010,vortigern,0.2925170452255223
155538844,1010,excalibur,0.28005481471486926
155534148,1010,acknowledg,0.2712127214521363
155535422,1010,birthright,0.2712127214521363
155534381,1010,alley,0.2499083976787502
155548250,1010,sword,0.22174561354013445
155542216,1010,legaci,0.21252170614679097
155537341,1010,crown,0.203679612884058
155546759,1010,seiz,0.203679612884058
155549013,1010,truli,0.203679612884058
32527801,1011,cadet,0.42955041203763245
32533816,1011,landor,0.24733188777348927
32525499,1011,1830,0.23679470011766626
32542103,1011,york,0.23202712273619283
32527494,1011,brass,0.2293184464967707
32528751,1011,constabl,0.22351941366419126
32527719,1011,burgeon,0.21878125884094762
32536722,1011,poe,0.2055059723874726
32531868,1011,grisli,0.17874832346537894
32539819,1011,summon,0.1761032047397178
8954205,1012,queen,0.32958645549706533
8950184,1012,jafar,0.26690502955406487
8951405,1012,mal,0.26690502955406487
8958430,1012,vil,0.26690502955406487
8946058,1012,cruella,0.2601555026267298
8951415,1012,malefic,0.2601555026267298
8944009,1012,benevol,0.25464073758079014
8957709,1012,troublemak,0.23918955701798564
8952853,1012,offspr,0.23630666561803382
8946729,1012,disney,0.2059593194359667
2040083,1013,glader,0.4673774459161626
2050162,1013,wckd,0.4673774459161626
2046861,1013,scorch,0.22631053349560745
2049817,1013,vastli,0.21591155950828703
2044312,1013,obstacl,0.1863487586658312
2049529,1013,unimagin,0.18503323823412537
2048330,1013,superior,0.18378191564707883
2038020,1013,desol,0.177336448083852
2042293,1013,landscap,0.17640372618460495
2036941,1013,clue,0.16312002648251758
87998176,1014,coach,0.5112624392820816
88007790,1014,runner,0.3055489392049926
87996567,1014,basketbal,0.27726541311782327
88007331,1014,reluctantli,0.2634833104880091
87996820,1014,biggest,0.25832110292770155
88002516,1014,imposs,0.25434774488202244
87995716,1014,agre,0.24377451337141587
87998764,1014,cross,0.2166948887340687
87998611,1014,countri,0.21202536934220514
88006974,1014,race,0.20229659817247625
29691782,1015,hood,0.4357905779677369
29697976,1015,sheriff,0.37116873879323786
29697315,1015,rottingham,0.3030451647704714
29688835,1015,despot,0.27386876052673886
29695606,1015,patriot,0.2680633024354115
29694968,1015,nobl,0.24599220465288152
29688373,1015,crusad,0.23135983903068855
29689892,1015,exil,0.2297265649616789
29685793,1015,assembl,0.22137239791302166
29690141,1015,fellow,0.17944894085691393
100458343,1016,istanbul,0.431174850844948
100458738,1016,kidnapp,0.37907924258468717
100457726,1016,hostag,0.3110435462964512
100453503,1016,cia,0.30153139991297456
