term,Drama,Comedy,Thriller,Action,Adventure,Horror,Romance,Family,Crime,Science Fiction,Fantasy,Animation,Mystery,History,Music,TV Movie,War,Documentary,Western
knuckl,nan,0.26544074689327685,0.2134833223337754,0.3206592322775454,0.23783150420114252,nan,0.254909794997948,0.26599696627640956,0.278764889053529,0.3206592322775454,0.254909794997948,0.254909794997948,nan,nan,nan,nan,nan,nan,nan
tail,0.18595631276776436,0.24734340274330754,0.31117037476693044,0.22305737292322514,0.24200285184668488,0.2168214638856214,nan,0.23685440051682466,0.2734908639687228,0.2745034655369135,0.25116711971497746,0.156953825432611,0.24490704065205338,nan,nan,nan,nan,nan,nan
sidekick,0.295115594619016,0.22998220714825596,0.2021802297047142,0.24567154682336464,0.22000796212399437,0.182839628533761,0.1944699851297723,0.24784770070106327,0.2101566952771173,0.20123834886529585,0.2269239486176563,0.2419107748634384,0.2352550994321892,nan,0.2269239486176563,nan,nan,nan,nan
eager,0.26264894087246116,0.20594573350422815,nan,0.1728499532596508,0.1732821896952244,0.390485050290493,0.23537155009920596,0.18592609991349338,0.1661282118236416,nan,nan,0.1785597478777961,nan,0.1661282118236416,nan,nan,0.1498152110807332,nan,0.213270499368111
globe,0.20373799485990832,0.2223259805447936,0.23070515053364454,0.2283512415702969,0.2299664116956937,0.1889026375908971,nan,0.19056367258611154,0.25162084616020597,0.17409023246690283,0.22066238250951445,nan,nan,0.2268058190342272,nan,nan,0.24176497451790474,nan,nan
hill,0.28004918584692284,0.25796455651287264,0.2619548264132255,0.2431834113542361,0.2544810249207687,0.2823791615937575,0.24591397498677267,0.21609640417729342,0.3593863529738791,0.3045914492485325,0.2353905626357954,0.2374425199825288,nan,nan,nan,0.27884767375208114,nan,nan,nan
childhood,0.24942037829389907,0.253623013962805,0.2945377226961243,0.2876295682524189,0.22490797340101346,0.29025859889833644,0.2618383445421991,0.22394444640866043,0.2786661174211489,0.2592419570040263,0.22257831166441466,0.226352996087426,0.31338582724659536,0.2430874169619816,nan,nan,nan,nan,0.3091373849725853
sublim,nan,nan,0.3385816137187553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chang,0.23537121743785605,0.2144471390777483,0.2755210331769957,0.2204483671384237,0.22093653946903036,0.2012860949534156,0.24144071580936757,0.23673943851729828,0.20161379986742667,0.1935089340343526,0.23007042478576709,0.2039623776805255,0.2180602299230682,nan,0.2076273197489666,nan,nan,nan,0.2473552887939662
techniqu,0.2216968848918739,nan,0.22465937651692558,nan,nan,0.2172520025613315,0.2216968848918739,nan,0.16273215194979215,0.2876796435701927,nan,nan,nan,0.1827778895750684,nan,0.1583305184500052,nan,nan,nan
